cost_train,loss_train,obj_train,cost_test,loss_test,obj_test,time,n_actions
0.4018075189008658,0.3799126637554585,0.7817201826563243,0.3186322296352889,0.42105263157894735,0.7396848612142363,4178.661917353,10
0.3078664059156642,0.4692982456140351,0.7771646515296993,0.29029247488430054,0.4090909090909091,0.6993833839752097,4708.825354149999,7
0.30168672351130865,0.5486725663716814,0.85035928988299,0.3831450612504783,0.38461538461538464,0.7677604458658629,6132.002331412999,6
0.3984918119185703,0.3811659192825112,0.7796577312010815,0.37585829356991635,0.5263157894736842,0.9021740830436005,6605.543245029003,9
0.3631447939819605,0.3537117903930131,0.7168565843749736,0.40463108842429213,0.2962962962962963,0.7009273847205884,7717.182466208997,9
0.4827485454547473,0.22026431718061673,0.703012862635364,0.5818495248950718,0.0,0.5818495248950718,9062.968110571004,7
0.2272428499254204,0.5110132158590308,0.7382560657844512,0.2869071734191836,0.44,0.7269071734191836,9436.644049906994,5
0.2390628777643478,0.459915611814346,0.6989784895786938,0.2405256126029542,0.5217391304347826,0.7622647430377367,9595.772331178996,4
0.5214728333400976,0.2149122807017544,0.736385114041852,0.5914937720661884,0.1,0.6914937720661883,10613.525222850003,8
0.24449425763215607,0.459915611814346,0.7044098694465021,0.35689845575282986,0.08,0.4368984557528299,12166.772476400001,6
